step,loss
943.0,0.0401
944.0,0.035
945.0,0.0381
946.0,0.0346
947.0,0.0341
948.0,0.0356
949.0,0.0349
950.0,0.0459
951.0,0.0381
952.0,0.0423
953.0,0.057
954.0,0.0346
955.0,0.0262
956.0,0.0397
957.0,0.035
958.0,0.0366
959.0,0.0412
960.0,0.0378
961.0,0.037
962.0,0.0308
963.0,0.0358
964.0,0.0555
965.0,0.03
966.0,0.0383
967.0,0.0254
968.0,0.027
969.0,0.0412
970.0,0.0412
971.0,0.0393
972.0,0.0398
973.0,0.0441
974.0,0.0277
975.0,0.0433
976.0,0.0412
977.0,0.037
978.0,0.0344
979.0,0.042
980.0,0.04
981.0,0.0395
982.0,0.0366
983.0,0.0354
984.0,0.0399
985.0,0.0348
986.0,0.0411
987.0,0.0419
988.0,0.0326
989.0,0.0416
990.0,0.0443
991.0,0.0314
992.0,0.0529
993.0,0.0293
994.0,0.0482
995.0,0.0342
996.0,0.0372
997.0,0.0305
998.0,0.0306
999.0,0.0417
1000.0,0.0383
1001.0,0.0388
1002.0,0.0304
1003.0,0.0325
1004.0,0.0315
1005.0,0.0319
1006.0,0.0397
1007.0,0.0333
1008.0,0.0383
1009.0,0.0414
1010.0,0.0371
1011.0,0.0402
1012.0,0.041
1013.0,0.0519
1014.0,0.0656
1015.0,0.0303
1016.0,0.0296
1017.0,0.0368
1018.0,0.0426
1019.0,0.0337
1020.0,0.05
1021.0,0.0398
1022.0,0.0338
1023.0,0.0321
1024.0,0.0466
1025.0,0.041
1026.0,0.0332
1027.0,0.0374
1028.0,0.0342
1029.0,0.0458
1030.0,0.0281
1031.0,0.0397
1032.0,0.0324
1033.0,0.0359
1034.0,0.0337
1035.0,0.0324
1036.0,0.028
1037.0,0.0373
1038.0,0.0272
1039.0,0.036
1040.0,0.0341
1041.0,0.0304
1042.0,0.0289
1043.0,0.0372
1044.0,0.0416
1045.0,0.0453
1046.0,0.0345
1047.0,0.0321
1048.0,0.0426
1049.0,0.0446
1050.0,0.034
1051.0,0.0621
1052.0,0.0449
1053.0,0.0412
1054.0,0.0294
1055.0,0.0339
1056.0,0.0257
1057.0,0.0392
1058.0,0.0424
1059.0,0.0337
1060.0,0.0398
1061.0,0.0341
1062.0,0.0462
1063.0,0.0376
1064.0,0.0404
1065.0,0.0296
1066.0,0.044
1067.0,0.0337
1068.0,0.0353
1069.0,0.0432
1070.0,0.0345
1071.0,0.0427
1072.0,0.0248
1073.0,0.0432
1074.0,0.0367
1075.0,0.054
1076.0,0.0425
1077.0,0.0253
1078.0,0.0389
1079.0,0.0383
1080.0,0.0361
1081.0,0.0446
1082.0,0.0419
1083.0,0.0323
1084.0,0.0401
1085.0,0.0442
1086.0,0.0319
1087.0,0.0378
1088.0,0.0459
1089.0,0.0289
1090.0,0.0509
1091.0,0.0292
1092.0,0.0288
1093.0,0.0277
1094.0,0.0296
1095.0,0.038
1096.0,0.0355
1097.0,0.0366
1098.0,0.0457
1099.0,0.0326
1100.0,0.0355
1101.0,0.0424
1102.0,0.0318
1103.0,0.0293
1104.0,0.0464
1105.0,0.039
1106.0,0.0292
1107.0,0.0361
1108.0,0.0401
1109.0,0.0314
1110.0,0.0363
1111.0,0.0333
